City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,lawrence,90,US,1534753560,94,38.97,-95.24,68.0,14.99
88,katsuura,75,JP,1534752000,70,33.93,134.5,84.2,8.05
89,sitka,0,US,1534754903,85,37.17,-99.65,61.69,17.69
90,new norfolk,75,AU,1534752000,61,-42.78,147.06,46.4,16.11
91,isangel,88,VU,1534754903,99,-19.55,169.27,74.29,7.4
92,lhanbryde,75,GB,1534753200,76,57.64,-3.22,57.2,2.24
93,verkhnyaya inta,44,RU,1534754904,68,65.99,60.32,64.84,7.74
94,rockport,1,US,1534752900,79,28.02,-97.05,84.2,12.75
95,chengam,88,IN,1534754906,45,12.3,78.79,89.59,16.58
96,mnogovershinnyy,76,RU,1534754906,77,53.94,139.92,61.06,0.36
97,butaritari,8,KI,1534754441,100,3.07,172.79,84.28,4.94
98,christchurch,32,NZ,1534752000,87,-43.53,172.64,46.4,3.36
99,port macquarie,0,AU,1534752000,78,-31.43,152.91,50.0,3.36
100,cabo san lucas,0,MX,1534754368,100,22.89,-109.91,81.58,12.21
101,poum,40,MK,1534752000,53,41.28,20.71,75.2,2.24
102,bilma,0,NE,1534754417,29,18.69,12.92,96.43,6.73
103,neryungri,80,RU,1534754908,88,56.66,124.71,56.56,4.16
104,dudinka,48,RU,1534754909,80,69.41,86.18,55.39,7.74
105,bud,75,NO,1534753200,87,62.91,6.91,53.6,9.17
106,atuona,0,PF,1534754442,97,-9.8,-139.03,80.14,15.46
107,pangnirtung,88,CA,1534754492,83,66.15,-65.72,45.13,13.56
108,ugoofaaru,88,MV,1534754910,96,5.67,73.0,83.74,17.47
109,lagoa,0,PT,1534752000,54,37.14,-8.45,80.6,8.05
110,cape town,75,ZA,1534752900,82,-33.93,18.42,55.4,4.7
111,liling,20,CN,1534752000,41,27.65,113.49,96.8,11.18
112,shimoda,75,JP,1534752480,88,34.7,138.93,82.4,11.41
113,georgetown,20,GY,1534752000,100,6.8,-58.16,71.6,4.7
114,cidreira,100,BR,1534754569,100,-30.17,-50.22,50.62,11.21
115,roma,0,IT,1534751700,65,41.89,12.48,82.4,3.36
116,baykit,48,RU,1534754912,67,61.68,96.39,58.54,7.4
117,vilyuysk,8,RU,1534754912,66,63.75,121.63,71.59,2.82
118,hami,76,CN,1534754913,26,42.84,93.51,95.26,5.39
119,tuatapere,80,NZ,1534754448,100,-46.13,167.69,41.17,4.16
120,itaituba,68,BR,1534754914,98,-4.26,-55.99,71.86,2.37
121,port-gentil,90,GA,1534752000,83,-0.72,8.78,77.0,11.41
122,hualmay,92,PE,1534754589,96,-11.1,-77.61,57.19,4.05
123,iwanai,92,JP,1534754915,92,42.97,140.51,68.53,6.73
124,biak,80,ID,1534754915,83,-0.91,122.88,79.6,7.63
125,pavlodar,90,KZ,1534752000,42,52.28,76.96,82.4,8.95
126,tuktoyaktuk,80,CA,1534754430,96,69.44,-133.03,43.24,10.09
127,moree,0,AU,1534754916,42,-29.46,149.84,49.9,10.76
128,mumford,68,GH,1534754917,90,5.26,-0.76,77.26,11.32
129,grindavik,75,IS,1534752000,93,63.84,-22.43,50.0,10.29
130,gouvy,64,BE,1534753500,93,50.19,5.95,66.2,2.24
131,smithers,40,CA,1534752000,76,54.78,-127.17,50.0,2.24
132,namibe,92,AO,1534754473,100,-15.19,12.15,65.11,6.4
133,ponta do sol,0,BR,1534754416,84,-20.63,-46.0,46.48,2.71
134,fort frances,1,CA,1534751700,100,48.61,-93.4,53.6,6.93
135,beloha,0,MG,1534754919,27,-25.17,45.06,86.89,5.06
136,adrar,40,DZ,1534752000,29,27.87,-0.29,89.6,29.97
